gcalls seq=000077 caller=QUEST2 target=7015C005 QUEST                argc=0 site=7017EA51
gcalls seq=000144 caller=QUEST2 target=701766ED READ_IN              argc=0 site=7015C05F
gcalls seq=000159 caller=QUEST2 target=70175E9F LOGON                argc=0 site=7015C283
gcalls seq=000196 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175F6B
gcalls seq=000218 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175FD3
gcalls seq=000264 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=701760C4
gcalls seq=000397 caller=QUEST2 target=7016DF39 INIT_OBJ_TBL         argc=2 site=7015C2B7
gcalls seq=000398 caller=QUEST2 target=7015C5E1 -                    argc=0 site=7015C337
gcalls seq=000400 caller=QUEST2 target=7016E103 INIT_SCREEN          argc=1 site=7015C38C
gcalls seq=000402 caller=QUEST2 target=701697A1 FAKE_LAND_MASS       argc=1 site=7016E1D2
gcalls seq=000404 caller=QUEST2 target=701699B5 FAKE_OCEAN           argc=1 site=7016E1D8
gcalls seq=000415 caller=QUEST2 target=7016B549 GET_QUEST            argc=0 site=7015C3B5
gcalls seq=000432 caller=QUEST2 target=7016DE91 HIT_ANY_CHAR         argc=0 site=7016BCA0
gcalls seq=000445 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=7016DEA9
gcalls seq=000454 caller=QUEST2 target=70165713 C_A_LISTENER         argc=1 site=7017E7C1
gcalls seq=000470 caller=QUEST2 target=70176A93 REFRESH_SCREEN       argc=0 site=7016BCA4
gcalls seq=000559 caller=QUEST2 target=70166AF9 DISPLAY_SCREEN       argc=1 site=7016BCBE
gcalls seq=000560 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=000564 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=000568 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=000575 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000579 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000583 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000590 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000594 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000598 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000605 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000609 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000613 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000620 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000624 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000628 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000635 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000639 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000643 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000650 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000654 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000658 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000665 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000669 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000673 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000680 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000684 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000688 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000695 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000699 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000703 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000710 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000714 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000718 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000725 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000729 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000733 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000739 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000743 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000748 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000755 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000759 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000763 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000770 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000774 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000778 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000783 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000789 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000793 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000800 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000804 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000808 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000815 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000819 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000823 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000830 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000834 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000838 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000844 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000848 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000853 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000860 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000864 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000868 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000873 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000879 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000883 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000890 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000894 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000898 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000905 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000909 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000913 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000919 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000923 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000928 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000935 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000939 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000943 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000950 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000954 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000958 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000963 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000969 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000973 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000980 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000984 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000988 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000995 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000999 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001003 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001009 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001013 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001018 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001025 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001029 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001033 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001039 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001043 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001048 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001055 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001059 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001063 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001068 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001074 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001078 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001084 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001088 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001093 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001100 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001104 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001108 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
