gcalls seq=000077 caller=QUEST2 target=7015C005 QUEST                argc=0 site=7017EA51
gcalls seq=000144 caller=QUEST2 target=701766ED READ_IN              argc=0 site=7015C05F
gcalls seq=000159 caller=QUEST2 target=70175E9F LOGON                argc=0 site=7015C283
gcalls seq=000195 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175F6B
gcalls seq=000218 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175FD3
gcalls seq=000265 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=701760C4
gcalls seq=001004 caller=QUEST2 target=7016DF39 INIT_OBJ_TBL         argc=2 site=7015C2B7
gcalls seq=001005 caller=QUEST2 target=7015C5E1 -                    argc=0 site=7015C337
gcalls seq=001007 caller=QUEST2 target=7016E103 INIT_SCREEN          argc=1 site=7015C38C
gcalls seq=001009 caller=QUEST2 target=701697A1 FAKE_LAND_MASS       argc=1 site=7016E1D2
gcalls seq=001011 caller=QUEST2 target=701699B5 FAKE_OCEAN           argc=1 site=7016E1D8
gcalls seq=001027 caller=QUEST2 target=7016B549 GET_QUEST            argc=0 site=7015C3B5
gcalls seq=001039 caller=QUEST2 target=70165713 C_A_LISTENER         argc=1 site=7017E7C1
gcalls seq=001052 caller=QUEST2 target=7016DE91 HIT_ANY_CHAR         argc=0 site=7016BCA0
gcalls seq=001061 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=7016DEA9
gcalls seq=001077 caller=QUEST2 target=70176A93 REFRESH_SCREEN       argc=0 site=7016BCA4
gcalls seq=001166 caller=QUEST2 target=70166AF9 DISPLAY_SCREEN       argc=1 site=7016BCBE
gcalls seq=001167 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=001171 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=001175 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=001182 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001186 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001190 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001196 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001200 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001205 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001212 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001216 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001220 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001226 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001230 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001235 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001242 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001246 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001250 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001256 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001260 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001265 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001272 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001276 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001280 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001286 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001290 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001295 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001302 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001306 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001310 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001316 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001320 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001325 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001332 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001336 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001340 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001345 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001351 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001355 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001362 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001366 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001370 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001377 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001381 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001385 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001391 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001395 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001400 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001407 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001411 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001415 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001421 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001425 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001430 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001437 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001441 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001445 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001451 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001455 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001460 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001467 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001471 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001475 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001481 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001485 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001490 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001497 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001501 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001505 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001510 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001516 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001520 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001527 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001531 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001535 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001542 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001546 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001550 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001557 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001561 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001565 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001572 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001576 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001580 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001587 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001591 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001595 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001602 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001606 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001610 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001616 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001620 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001625 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001632 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001636 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001640 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001646 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001650 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001655 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001662 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001666 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001670 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001675 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001681 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001685 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001692 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001696 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001700 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001707 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001711 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001715 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
