gcalls seq=000077 caller=QUEST2 target=7015C005 QUEST                argc=0 site=7017EA51
gcalls seq=000144 caller=QUEST2 target=701766ED READ_IN              argc=0 site=7015C05F
gcalls seq=000159 caller=QUEST2 target=70175E9F LOGON                argc=0 site=7015C283
gcalls seq=000195 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175F6B
gcalls seq=000218 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175FD3
gcalls seq=000264 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=701760C4
gcalls seq=001191 caller=QUEST2 target=7016DF39 INIT_OBJ_TBL         argc=2 site=7015C2B7
gcalls seq=001192 caller=QUEST2 target=7015C5E1 -                    argc=0 site=7015C337
gcalls seq=001194 caller=QUEST2 target=7016E103 INIT_SCREEN          argc=1 site=7015C38C
gcalls seq=001196 caller=QUEST2 target=701697A1 FAKE_LAND_MASS       argc=1 site=7016E1D2
gcalls seq=001198 caller=QUEST2 target=701699B5 FAKE_OCEAN           argc=1 site=7016E1D8
gcalls seq=001216 caller=QUEST2 target=7016B549 GET_QUEST            argc=0 site=7015C3B5
gcalls seq=001225 caller=QUEST2 target=70165713 C_A_LISTENER         argc=1 site=7017E7C1
gcalls seq=001239 caller=QUEST2 target=7016DE91 HIT_ANY_CHAR         argc=0 site=7016BCA0
gcalls seq=001248 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=7016DEA9
gcalls seq=001264 caller=QUEST2 target=70176A93 REFRESH_SCREEN       argc=0 site=7016BCA4
gcalls seq=001353 caller=QUEST2 target=70166AF9 DISPLAY_SCREEN       argc=1 site=7016BCBE
gcalls seq=001354 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=001358 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=001362 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=001369 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001373 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001377 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001384 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001388 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001392 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001399 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001403 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001407 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001414 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001418 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001422 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001429 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001433 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001437 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001444 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001448 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001452 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001459 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001463 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001467 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001474 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001478 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001482 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001489 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001493 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001497 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001504 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001508 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001512 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001519 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001523 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001527 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001533 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001537 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001542 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001549 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001553 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001557 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001562 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001568 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001572 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001579 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001583 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001587 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001592 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001598 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001602 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001609 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001613 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001617 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001622 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001628 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001632 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001638 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001642 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001647 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001654 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001658 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001662 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001667 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001673 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001677 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001684 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001688 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001692 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001699 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001703 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001707 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001714 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001718 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001722 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001729 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001733 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001737 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001744 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001748 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001752 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001759 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001763 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001767 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001774 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001778 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001782 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001789 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001793 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001797 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001803 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001807 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001812 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001819 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001823 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001827 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001832 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001838 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001842 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001849 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001853 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001857 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001864 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001868 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001872 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001878 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001882 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001887 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001894 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001898 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001902 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
