gcalls seq=000077 caller=QUEST2 target=7015C005 QUEST                argc=0 site=7017EA51
gcalls seq=000144 caller=QUEST2 target=701766ED READ_IN              argc=0 site=7015C05F
gcalls seq=000159 caller=QUEST2 target=70175E9F LOGON                argc=0 site=7015C283
gcalls seq=000195 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175F6B
gcalls seq=000218 caller=QUEST2 target=701766ED READ_IN              argc=0 site=70175FD3
gcalls seq=000264 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=701760C4
gcalls seq=000323 caller=QUEST2 target=7016DF39 INIT_OBJ_TBL         argc=2 site=7015C2B7
gcalls seq=000324 caller=QUEST2 target=7015C5E1 -                    argc=0 site=7015C337
gcalls seq=000326 caller=QUEST2 target=7016E103 INIT_SCREEN          argc=1 site=7015C38C
gcalls seq=000328 caller=QUEST2 target=701697A1 FAKE_LAND_MASS       argc=1 site=7016E1D2
gcalls seq=000330 caller=QUEST2 target=701699B5 FAKE_OCEAN           argc=1 site=7016E1D8
gcalls seq=000342 caller=QUEST2 target=7016B549 GET_QUEST            argc=0 site=7015C3B5
gcalls seq=000366 caller=QUEST2 target=7016DE91 HIT_ANY_CHAR         argc=0 site=7016BCA0
gcalls seq=000373 caller=QUEST2 target=70165713 C_A_LISTENER         argc=1 site=7017E7C1
gcalls seq=000378 caller=QUEST2 target=7016AA35 GET_INPUT            argc=1 site=7016DEA9
gcalls seq=000394 caller=QUEST2 target=70176A93 REFRESH_SCREEN       argc=0 site=7016BCA4
gcalls seq=000485 caller=QUEST2 target=70166AF9 DISPLAY_SCREEN       argc=1 site=7016BCBE
gcalls seq=000486 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=000490 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=000494 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166B86
gcalls seq=000501 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000505 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000509 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000515 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000519 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000524 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000531 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000535 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000539 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000545 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000549 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000554 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000561 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000565 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000569 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000575 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000579 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000584 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000591 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000595 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000599 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000605 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000609 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000614 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000621 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000625 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000629 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000635 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000639 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000644 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000651 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000655 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000659 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000664 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000670 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000674 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000681 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000685 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000689 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000694 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000700 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000704 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000711 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000715 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000719 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000724 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000730 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000734 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000741 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000745 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000749 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000754 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000760 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000764 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000771 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000775 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000779 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000784 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000790 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000794 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000801 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000805 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000809 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000814 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000820 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000824 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000830 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000834 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000839 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000846 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000850 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000854 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000860 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000864 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000869 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000876 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000880 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000884 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000890 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000894 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000899 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000906 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000910 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000914 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000919 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000925 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000929 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000935 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000939 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000944 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000951 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000955 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000959 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000964 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000970 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000974 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000981 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000985 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000989 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=000996 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001000 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001004 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001011 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001015 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001019 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001026 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001030 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
gcalls seq=001034 caller=QUEST2 target=70168717 DIST                 argc=4 site=70166E1C
