# M4b borrow map — WPSH/WPOP frame-borrow pairs (23). base 0x74000000.
# borrow <pc> <slot>: WPSH stores AC[r] to slot (not stack); WPOP loads it back.
borrow 7015F7BA 74000000   # pair0 WPSH AC3
borrow 7015F7BE 74000000   # pair0 WPOP AC3
borrow 7015F7C5 74000004   # pair1 WPSH AC3
borrow 7015F7C9 74000004   # pair1 WPOP AC3
borrow 7015F7D0 74000008   # pair2 WPSH AC3
borrow 7015F7D4 74000008   # pair2 WPOP AC3
borrow 7015F7EE 7400000C   # pair3 WPSH AC3
borrow 7015F7F2 7400000C   # pair3 WPOP AC3
borrow 7015F7F9 74000010   # pair4 WPSH AC3
borrow 7015F7FD 74000010   # pair4 WPOP AC3
borrow 7015F80E 74000014   # pair5 WPSH AC3
borrow 7015F812 74000014   # pair5 WPOP AC3
borrow 7015F819 74000018   # pair6 WPSH AC3
borrow 7015F81D 74000018   # pair6 WPOP AC3
borrow 7015F82E 7400001C   # pair7 WPSH AC3
borrow 7015F832 7400001C   # pair7 WPOP AC3
borrow 7015F839 74000020   # pair8 WPSH AC3
borrow 7015F83D 74000020   # pair8 WPOP AC3
borrow 70165345 74000024   # pair9 WPSH AC3
borrow 70165349 74000024   # pair9 WPOP AC3
borrow 7016534D 74000028   # pair10 WPSH AC3
borrow 70165351 74000028   # pair10 WPOP AC3
borrow 70166369 7400002C   # pair11 WPSH AC3
borrow 7016636D 7400002C   # pair11 WPOP AC3
borrow 701667B2 74000030   # pair12 WPSH AC3
borrow 701667B6 74000030   # pair12 WPOP AC3
borrow 7016680D 74000034   # pair13 WPSH AC3
borrow 70166811 74000034   # pair13 WPOP AC3
borrow 7016686E 74000038   # pair14 WPSH AC3
borrow 70166872 74000038   # pair14 WPOP AC3
borrow 701668C9 7400003C   # pair15 WPSH AC3
borrow 701668CD 7400003C   # pair15 WPOP AC3
borrow 70166ED3 74000040   # pair16 WPSH AC3
borrow 70166ED7 74000040   # pair16 WPOP AC3
borrow 70166FA6 74000044   # pair17 WPSH AC3
borrow 70166FAA 74000044   # pair17 WPOP AC3
borrow 7016A3EA 74000048   # pair18 WPSH AC3
borrow 7016A3EE 74000048   # pair18 WPOP AC3
borrow 7016BCE6 7400004C   # pair19 WPSH AC3
borrow 7016BCEA 7400004C   # pair19 WPOP AC3
borrow 7016DF8F 74000050   # pair20 WPSH AC3
borrow 7016DF93 74000050   # pair20 WPOP AC3
borrow 7016E7D5 74000054   # pair21 WPSH AC2
borrow 7016E7D9 74000054   # pair21 WPOP AC2
borrow 70178A3F 74000058   # pair22 WPSH AC3
borrow 70178A43 74000058   # pair22 WPOP AC3
