# site	callee	argc	block	shape	needs_t	refuse	pushes(program order)	args(arg1..argN)
7015BE91	?OPEN_SHARED_IO_FILE	5	7015BE78	contiguous	0	-	7015BE87 XPEF [pc+0x7EEF] (0x7015BD77) | 7015BE89 WPSH 0,0 | 7015BE8A XPEF [ac3+0xA] | 7015BE8C XPEF [ac3+0xC] | 7015BE8E LPEF [0x70000264]	0x70000264 | wp(ac3, 12) | wp(ac3, 10) | ac0 | 0x7015BD77
7015BEAE	?OPEN_SHARED_IO_FILE	5	7015BE95	contiguous	0	-	7015BEA4 XPEF [pc+0x7ECE] (0x7015BD73) | 7015BEA6 WPSH 0,0 | 7015BEA7 XPEF [ac3+0xA] | 7015BEA9 XPEF [ac3+0xC] | 7015BEAB LPEF [0x70000266]	0x70000266 | wp(ac3, 12) | wp(ac3, 10) | ac0 | 0x7015BD73
7015BECB	?OPEN_SHARED_IO_FILE	5	7015BEB2	contiguous	0	-	7015BEC1 XPEF [pc+0x7EB5] (0x7015BD77) | 7015BEC3 WPSH 0,0 | 7015BEC4 XPEF [ac3+0xA] | 7015BEC6 XPEF [ac3+0xC] | 7015BEC8 LPEF [0x70000268]	0x70000268 | wp(ac3, 12) | wp(ac3, 10) | ac0 | 0x7015BD77
7015BEDF	?GET_SHARED_PAGE	4	7015BECF	contiguous	0	-	7015BED5 XPEF [ac3+0xC] | 7015BED7 XPEF [ac3+0xA] | 7015BED9 LPEF [0x70000210] | 7015BEDC LPEF [0x70000264]	0x70000264 | 0x70000210 | wp(ac3, 10) | wp(ac3, 12)
7015BEFA	?GET_SHARED_PAGE	4	7015BEE3	contiguous	0	-	7015BEF0 XPEF [ac3+0xC] | 7015BEF2 XPEF [ac3+0xA] | 7015BEF4 LPEF [0x70000212] | 7015BEF7 LPEF [0x70000266]	0x70000266 | 0x70000212 | wp(ac3, 10) | wp(ac3, 12)
7015BF13	?GET_SHARED_PAGE	4	7015BEFE	contiguous	0	-	7015BF09 XPEF [ac3+0xC] | 7015BF0B XPEF [ac3+0xA] | 7015BF0D LPEF [0x70000214] | 7015BF10 LPEF [0x70000268]	0x70000268 | 0x70000214 | wp(ac3, 10) | wp(ac3, 12)
7015C01F	?OPEN_FILE	2	7015C00F	contiguous	0	-	7015C01A XPEF [ac3+0xE] | 7015C01C LPEF [0x70000260]	0x70000260 | wp(ac3, 14)
7015C033	?OPEN_FILE	2	7015C023	contiguous	0	-	7015C02E XPEF [ac3+0xE] | 7015C030 LPEF [0x70000262]	0x70000262 | wp(ac3, 14)
7015C047	?WRITE_SCREEN	2	7015C037	contiguous	0	-	7015C042 XPEF [ac3+0x14] | 7015C044 LPEF [0x70000260]	0x70000260 | wp(ac3, 20)
7015C05B	?WRITE_SCREEN	2	7015C04B	contiguous	0	-	7015C056 XPEF [ac3+0x20] | 7015C058 LPEF [0x70000260]	0x70000260 | wp(ac3, 32)
7015C07E	?WRITE_SCREEN	2	7015C06E	contiguous	0	-	7015C079 XPEF [ac3+0x20] | 7015C07B LPEF [0x70000260]	0x70000260 | wp(ac3, 32)
