# p31 sites — machine-readable ledger (tools/string_sites.py --p31-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=1d3baaf6487a8e3faf4c900e49dbcaae6ddbe1e7f996a47b161c74b502b43477
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir
7015BE68	WCMV	7015BE5F	INIT_SHARED_DATA	ASSIGN-LIT-VARYING	d	EMIT			7015BE5F 7015BE61 7015BE62 7015BE64 7015BE66	[@wp(ac3, 12), 27 varying] = [@0x7015BD9B:0, "Cannot set shared partition"]
7015BE81	WCMV	7015BE78	INIT_SHARED_DATA	ASSIGN-LIT-VARYING	d	EMIT			7015BE78 7015BE7A 7015BE7B 7015BE7D 7015BE7F	[@wp(ac3, 12), 17 varying] = [@0x7015BD91:0, "SHARED_DATA_FILE\x00"]
7015BE9E	WCMV	7015BE95	INIT_SHARED_DATA	ASSIGN-LIT-VARYING	d	EMIT			7015BE95 7015BE97 7015BE98 7015BE9A 7015BE9C	[@wp(ac3, 12), 16 varying] = [@0x7015BD89:0, "WORLD_DATA_FILE\x00"]
7015BEBB	WCMV	7015BEB2	INIT_SHARED_DATA	ASSIGN-LIT-VARYING	d	EMIT			7015BEB2 7015BEB4 7015BEB5 7015BEB7 7015BEB9	[@wp(ac3, 12), 17 varying] = [@0x7015BD7F:0, "CASTLE_DATA_FILE\x00"]
7015C018	WCMV	7015C00F	QUEST	ASSIGN-LIT-VARYING	d	EMIT			7015C00F 7015C011 7015C012 7015C014 7015C016	[@wp(ac3, 14), 8 varying] = [@0x7015BF87:0, "@OUTPUT\x00"]
7015C02C	WCMV	7015C023	QUEST	ASSIGN-LIT-VARYING	d	EMIT			7015C023 7015C025 7015C026 7015C028 7015C02A	[@wp(ac3, 14), 7 varying] = [@0x7015BF83:0, "@INPUT\x00"]
7015C040	WCMV	7015C037	QUEST	ASSIGN-LIT-VARYING	a	EMIT			7015C037 7015C039 7015C03A 7015C03C 7015C03E	[@wp(ac3, 20), 19 varying] = [@0x7015BF79:0, "Welcome to quest!\x0A\x0A"]
7015C054	WCMV	7015C04B	QUEST	ASSIGN-LIT-VARYING	a	EMIT			7015C04B 7015C04D 7015C04E 7015C050 7015C052	[@wp(ac3, 32), 25 varying] = [@0x7015BF6B:0, "What are your initials : "]
7015C077	WCMV	7015C06E	QUEST	ASSIGN-LIT-VARYING	a	EMIT			7015C06E 7015C070 7015C071 7015C073 7015C075	[@wp(ac3, 32), 23 varying] = [@0x7015BF5F:0, "Two characters please.\x0A"]
7015C09C	WCMP	7015C08F	QUEST	-	-	EMIT			7015C096 7015C097 7015C099	ac1 = cmp([@0x70000CCC:0, 2], [@0x7015BF5F:0, 0])
7015C0AD	WCMP	7015C0A3	QUEST	-	-	EMIT			7015C0A3 7015C0A5 7015C0A8 7015C0AA	ac1 = cmp([@0x7000021C, varying], [@0x7015BF5D:0, "GOD"])
7015C0F9	WCMV	7015C0F0	QUEST	ASSIGN-LIT-VARYING	a	EMIT			7015C0F0 7015C0F2 7015C0F3 7015C0F5 7015C0F7	[@wp(ac3, 46), 36 varying] = [@0x7015BF4B:0, "Maximum number of players exceeded.\x0A"]
7015C20A	WCMV	7015C201	QUEST	ASSIGN-LIT-VARYING	a	EMIT			7015C201 7015C203 7015C204 7015C206 7015C208	[@wp(ac3, 32), 23 varying] = [@0x7015BF5F:0, "Two characters please.\x0A"]
7015C259	WCMP	7015C249	QUEST	-	-	EMIT			7015C252 7015C253 7015C255 7015C256	ac1 = cmp([@(bp(M32[0x70000210], 1) + (sx16(M16[wp(ac3, 2)]) + 0x3DF76)), 2], [@0x70000CCC:0, 2])
7015C266	WCMV	7015C25D	QUEST	ASSIGN-LIT-VARYING	a	EMIT			7015C25D 7015C25F 7015C260 7015C262 7015C264	[@wp(ac3, 32), 25 varying] = [@0x7015BF39:0, "Initials already in use!\x0A"]
7015C2E4	WBLM	7015C2CD	QUEST	-	b	EMIT			7015C2DD 7015C2DF 7015C2E2	words(@((sx16(M16[0x70000216]) * 686) + M32[0x70000210] - 0x280), 10) = words(@((sx16(M16[0x70000216]) * 686) + M32[0x70000210] - 0x282), 10) ; fill: src = dst - 2 (self-overlapping smear, Census F6)
7015C32C	WCMV	7015C323	QUEST	ASSIGN-LIT-VARYING	d	EMIT			7015C323 7015C325 7015C326 7015C328 7015C32A	[@wp(ac3, 46), 38 varying] = [@0x7015BF25:0, "This player was previously killed off!"]
7015C872	WCMV	7015C866	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015C869 7015C86B 7015C86C 7015C86E 7015C870	[@wp(ac3, 54), 26 varying] = [@0x7015C79B:0, "\x0B**** Alchemist home ****\x0A"]
7015C8A7	WCMV	7015C89E	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015C89E 7015C8A0 7015C8A1 7015C8A3 7015C8A5	[@wp(ac3, 70), 55 varying] = [@0x7015C77F:0, "\x0A\x0BThe alchemists home is protected by an unknown field."]
7015C8D4	WCMV	7015C8C8	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015C8CB 7015C8CD 7015C8CE 7015C8D0 7015C8D2	[@wp(ac3, 100), 73 varying] = [@0x7015C759:0, "\x0A\x0BThe field protecting the alchemist's home is broken by the Staff of Ra!"]
7015C964	WCMV	7015C95B	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015C95B 7015C95D 7015C95E 7015C960 7015C962	[@wp(ac3, 138), 102 varying] = [@0x7015C6F1:0, "\x0A\x0BYou have entered the home of an alchemist.\x0A\x0BThe alchemist is in meditation and can not be disturbed."]
7015C981	WCMV	7015C978	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015C978 7015C97A 7015C97B 7015C97D 7015C97F	[@wp(ac3, 138), 92 varying] = [@0x7015C6C3:0, "\x0A\x0BYou have entered the home of an alchemist.\x0A\x0BThe alchemist is willing to bargain with you.\x0A"]
7015CA2E	WCMV	7015CA25	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015CA25 7015CA27 7015CA28 7015CA2A 7015CA2C	[@wp(ac3, 70), 47 varying] = [@0x7015C6AB:0, "\x0BYou have nothing that interests the alchemist."]
7015CBCC	WCMV	7015CBC3	ALCHEMIST_HOME	ASSIGN-LIT-VARYING	a	EMIT			7015CBC3 7015CBC5 7015CBC6 7015CBC8 7015CBCA	[@wp(ac3, 54), 25 varying] = [@0x7015C679:0, "\x0A\x0BYou have been deceived!"]
7015CE8E	WCMV	7015CE51	ALCHEMIST_HOME	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+16*N[(W[(fp-6)]+5)]-0XFEAFBB8)]+35) is not a constant or a length word		
7015D073	WCMV	7015D068	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D06A 7015D06C 7015D06D 7015D06F 7015D071	[@wp(ac3, 2), 31 varying] = [@0x7015CFC9:0, "Couldn't access user_data_file\x0A"]
7015D08E	WCMV	7015D085	ALLY_PLAYER	ASSIGN-LIT-VARYING	d	EMIT			7015D085 7015D087 7015D088 7015D08A 7015D08C	[@wp(ac3, 534), 15 varying] = [@0x7015CFC1:0, "USER_DATA_FILE\x00"]
7015D0A6	WCMV	7015D09D	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D09D 7015D09F 7015D0A0 7015D0A2 7015D0A4	[@wp(ac3, 544), 82 varying] = [@0x7015CF97:0, "\x0CDo you wish to (L) list, (A) add, or (D) delete\x0Afrom your player alliance list ? "]
7015D0DE	WCMV	7015D0D5	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D0D5 7015D0D7 7015D0D8 7015D0DA 7015D0DC	[@wp(ac3, 544), 25 varying] = [@0x7015CF83:0, "\x0APlayer alliance table:\x0A\x0A"]
7015D104	WCMV	7015D0F8	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D0FB 7015D0FD 7015D0FE 7015D100 7015D102	[@wp(ac3, 534), 15 varying] = [@0x7015CF7B:0, "\x0APlayer name ? "]
7015D131	WCMV	7015D12A	ALLY_PLAYER	ASSIGN-STR-VARYING-PAD	?	REFUSE	P32-SUBSTR	operand is a phi/min (SUBSTR with a computed length): phi(32, N[0x7000021C])		
7015D13C	WCMV	7015D12A	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D132 7015D134 7015D136 7015D138 7015D13A	[@wp(ac3, 534), 11 varying] = [@0x7015CF75:0, "Password ? "]
7015D1DB	WCMV	7015D1AB	ALLY_PLAYER	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[W[(fp+16)]]+7) is not a constant or a length word		
7015D1F4	WCMP	7015D1EA	ALLY_PLAYER	-	-	EMIT			7015D1EA 7015D1EC 7015D1EE 7015D1F0 7015D1F2	ac1 = cmp([@R[wp(ac3, 16)], varying], [@wp(ac3, 516), varying])
7015D207	WCMP	7015D1FA	ALLY_PLAYER	-	-	EMIT			7015D1FA 7015D1FD 7015D1FF 7015D201 7015D202 7015D205	ac1 = cmp([@(M32[wp(ac3, 16)] + 17), varying], [@0x7000021C, varying])
7015D24E	WCMV	7015D245	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D245 7015D247 7015D248 7015D24A 7015D24C	[@wp(ac3, 590), 33 varying] = [@0x7015CF5F:0, "That player is currently active!\x0A"]
7015D2CE	WCMV	7015D2C5	ALLY_PLAYER	ASSIGN-LIT-VARYING	a	EMIT			7015D2C5 7015D2C7 7015D2C8 7015D2CA 7015D2CC	[@wp(ac3, 590), 36 varying] = [@0x7015CF4D:0, "That player/password does not exist\x0A"]
7015D942	WCMV	7015D942	ATTACK	ASSIGN-LIT-FIXED	a	EMIT				[@ac2, 13] = [@0x7015D725:0, " of strength \x00\x00\x00\x0E..\x0F\x0E:.\x0F\x0E.:\x0F\x0E "]
7015D979	WCMV	7015D979	ATTACK	ASSIGN-LIT-FIXED	a	EMIT				[@ac2, 13] = [@0x7015D725:0, " of strength \x00\x00\x00\x0E..\x0F\x0E:.\x0F\x0E.:\x0F\x0E "]
7015DA2F	WCMV	7015D9A7	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+11*N[(+686*W[(fp+10)]+W[0x70000210]+42)]-0XFEAE09C)]+N[(+686*W[(fp+10)]+W[0x70000210]-0X271)]+N[(fp+26)]+77) is not a constant or a length word		
7015DAA3	WCMV	7015DA51	ATTACK	ASSIGN-STR-VARYING	a	REFUSE	P32-COPYOUT	src count (N[(+12*N[(fp+7)]-0XFFFFD9A)]+N[(fp+26)]+87) is not a constant or a length word		
7015DAD5	WCMV	7015DACC	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DACC 7015DACE 7015DACF 7015DAD1 7015DAD3	[@wp(ac3, 50), 6 varying] = [@0x7015D6C9:0, "Ignore"]
7015DAE9	WCMV	7015DAE0	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DAE0 7015DAE2 7015DAE3 7015DAE5 7015DAE7	[@wp(ac3, 50), 9 varying] = [@0x7015D6C3:0, "\x0A\x0B\x0A\x0B\x0A\x0B\x17\x17\x17"]
7015DB11	WCMV	7015DB08	ATTACK	ASSIGN-LIT-VARYING	a	EMIT			7015DB08 7015DB0A 7015DB0B 7015DB0D 7015DB0F	[@wp(ac3, 50), 8 varying] = [@0x7015D6BD:0, "\x0BBargain"]
