# p32 sites — machine-readable ledger (tools/string_sites.py --p32-tsv); consumed by lower.py --strings-sites
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=ba30a84139a7d2f489cdb6345eddde4dfdf6c77d6d75f2eaa14ab3df58a829d0
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir	form	slice	chain
7015C902	WCMV	7015C8EA	ALCHEMIST_HOME	COPY-LIT-EXACT	a	EMIT			7015C8FD 7015C8FF 7015C901	[@bp(ac3, 200), 60] = [@0x7015C73B:0, "\x0A\x0BThere is no one home, but there is a flask filled with a\x0A\x0B"]	expr	4	piece 1/2 of ALCHEMIST_HOME ('frame', 200)
7015C90D	WCMV	7015C8EA	ALCHEMIST_HOME	CONCAT-PIECE+CALLRESULT	a	EMIT			7015C904 7015C906 7015C909 7015C90C	[@ac2, sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)])] = [@bp((sx16(M16[wp(ac3, 2)]) * 9), -0x1FD5F080), sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)])]	mixed	6	piece 2/2 of ALCHEMIST_HOME ('frame', 200)
7015C916	WCMV	7015C8EA	ALCHEMIST_HOME	COPY-STR-EXACT+CALLRESULT	a	EMIT			7015C90F 7015C911 7015C913 7015C915	[@bp(ac3, 0x114), (sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 60)] = [@bp(ac3, 200), (sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 60)]	expr	6	piece 1/2 of ALCHEMIST_HOME ('frame', 276); copy-out of ALCHEMIST_HOME ('frame', 200) (total MATCH)
7015C91C	WCMV	7015C8EA	ALCHEMIST_HOME	CONCAT-PIECE	a	EMIT			7015C917 7015C919 7015C91B	[@ac2, 42] = [@0x7015C725:0, " liquid, hit space bar to quaff the potion"]	mixed	4	piece 2/2 of ALCHEMIST_HOME ('frame', 276)
7015C927	WCMV	7015C8EA	ALCHEMIST_HOME	ASSIGN-STR-VARYING+CALLRESULT	a	EMIT			7015C91E 7015C920 7015C921 7015C923 7015C925	[@wp(ac3, 198), (sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 102) varying] = [@bp(ac3, 0x114), (sx16(M16[((sx16(M16[wp(ac3, 2)]) * 9) - 0xFEAF841)]) + 102)]	expr	6	copy-out of ALCHEMIST_HOME ('frame', 276) (total MATCH)
7015CAB1	WCMV	7015CA99	ALCHEMIST_HOME	COPY-LIT-EXACT	a	EMIT			7015CAAE 7015CAB0	[@bp(ac3, 140), 29] = [@0x7015C69B:0, "\x0BHit space bar to trade your "]	expr	4	piece 1/2 of ALCHEMIST_HOME ('frame', 140)
7015CABC	WCMV	7015CA99	ALCHEMIST_HOME	CONCAT-PIECE+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 2/2 of ALCHEMIST_HOME ('frame', 140)
7015CAC5	WCMV	7015CA99	ALCHEMIST_HOME	COPY-STR-EXACT+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 1/2 of ALCHEMIST_HOME ('frame', 200); copy-out of ALCHEMIST_HOME ('frame', 140) (total MATCH)
7015CACB	WCMV	7015CA99	ALCHEMIST_HOME	CONCAT-PIECE	a	EMIT			7015CAC6 7015CAC8 7015CACA	[@ac2, 18] = [@0x7015C691:0, "\x0Afor a magic flask"]	mixed	4	piece 2/2 of ALCHEMIST_HOME ('frame', 200)
7015CAD6	WCMV	7015CA99	ALCHEMIST_HOME	ASSIGN-STR-VARYING+CALLRESULT	a	EMIT			7015CAD2 7015CAD4	[@bp(ac3, 0x116), ac0] = [@bp(ac3, 200), ac1]	mixed	6	copy-out of ALCHEMIST_HOME ('frame', 200) (total MATCH)
7015CB23	WCMV	7015CB0B	ALCHEMIST_HOME	COPY-LIT-EXACT	a	EMIT			7015CB20 7015CB22	[@bp(ac3, 140), 29] = [@0x7015C69B:0, "\x0BHit space bar to trade your "]	expr	4	piece 1/2 of ALCHEMIST_HOME ('frame', 140)
7015CB2E	WCMV	7015CB0B	ALCHEMIST_HOME	CONCAT-PIECE+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 2/2 of ALCHEMIST_HOME ('frame', 140)
7015CB37	WCMV	7015CB0B	ALCHEMIST_HOME	COPY-STR-EXACT+CALLRESULT	a	EMIT				[@ac2, ac0] = [@ac3, ac1]	register	6	piece 1/2 of ALCHEMIST_HOME ('frame', 276); copy-out of ALCHEMIST_HOME ('frame', 140) (total MATCH)
