# p33 sites — machine-readable ledger (tools/string_sites.py --p33-tsv); consumed by lower.py --strings-sites33
# dis sha256=5c1db5fb75c8c26a70eaeab5760213973d1c80e8711b6dacbb9c28376d4118f4
# blocks sha256=ba30a84139a7d2f489cdb6345eddde4dfdf6c77d6d75f2eaa14ab3df58a829d0
# mem sha256=1d44317d0995843e28fd576adffb8be977489975760def777d7e7c2a70803074
# strhooks sha256=f4251e4c8a7c12005093bcf11d4009e1bb62eb3134e05efe00810553ca985476
# arena sha256=bb779f499772125fd7bc4b952582f19d228c8fb4702a5444736edbd72dcf01ed
# pc	op	block	func	idiom	dest	verdict	category	reason	fold	ir	form	slice	chain
7016614C	WADI	70166144	DIED	CLAIM-BASE	-	EMIT			7016614B	ac2 = s@70166144.1	stmt	7	s@70166144.1
70166168	WADI	70166144	DIED	CLAIM-BASE	-	EMIT			70166167	ac1 = s@70166144.2	stmt	7	s@70166144.2
70166182	WADI	70166144	DIED	CLAIM-BASE	-	EMIT			70166181	ac1 = s@70166144.3	stmt	7	s@70166144.3
70166152	WMSP	70166144	DIED	CLAIM	-	EMIT				claim s@70166144.1, ac0	stmt	7	s@70166144.1
7016616F	WMSP	70166144	DIED	CLAIM	-	EMIT				claim s@70166144.2, ac2	stmt	7	s@70166144.2
7016618A	WMSP	70166144	DIED	CLAIM	-	EMIT				claim s@70166144.3, ac2	stmt	7	s@70166144.3
701661AA	STASP	701661A7	DIED	RELEASE	-	EMIT				release s@70166144, ac1	stmt	7	s@70166144.1
7016615D	WCMV	70166144	DIED	COPY-LIT-EXACT	?	EMIT			7016615A 7016615C	[@bp(s@70166144.1, 0), 3] = [@0x70165FC1:0, "\x0C\x0A\x0A"]	expr	7	s@70166144.1
70166166	WCMV	70166144	DIED	CONCAT-PIECE	?	EMIT			7016615F 70166161 70166163 70166165	[@ac2, sx16(M16[M32[wp(ac3, -12)]])] = [@M32[wp(ac3, -12)], varying]	mixed	7	s@70166144.1
7016617A	WCMV	70166144	DIED	COPY-STR-EXACT	?	EMIT				[@bp(s@70166144.2, 0), ac0] = [@bp(s@70166144.1, 0), ac1]	mixed	7	s@70166144.2 s@70166144.1
