# docs/Project58/sites.tsv — compiler/countflow.py census of every string count operand
# block	stmt	pc	op	routine	idiom	role	form	class	fed_by_residue	pattern	verdict	roots	count	reason	verdict_through_len	roots_through_len	reason_through_len	guard	derived_from	invariant
7015BE5F	0	7015BE68	WCMV	-	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x1B	constant 27	yes	const	constant 27			
7015BE5F	0	7015BE68	WCMV	-	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x1B	constant 27	yes	const	constant 27			
7015BE78	0	7015BE81	WCMV	-	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x11	constant 17	yes	const	constant 17			
7015BE78	0	7015BE81	WCMV	-	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x11	constant 17	yes	const	constant 17			
7015BE95	0	7015BE9E	WCMV	-	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x10	constant 16	yes	const	constant 16			
7015BE95	0	7015BE9E	WCMV	-	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x10	constant 16	yes	const	constant 16			
7015BEB2	0	7015BEBB	WCMV	-	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x11	constant 17	yes	const	constant 17			
7015BEB2	0	7015BEBB	WCMV	-	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x11	constant 17	yes	const	constant 17			
7015C00F	0	7015C018	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	8	constant 8	yes	const	constant 8			
7015C00F	0	7015C018	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	8	constant 8	yes	const	constant 8			
7015C023	0	7015C02C	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	7	constant 7	yes	const	constant 7			
7015C023	0	7015C02C	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	7	constant 7	yes	const	constant 7			
7015C037	0	7015C040	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x13	constant 19	yes	const	constant 19			
7015C037	0	7015C040	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x13	constant 19	yes	const	constant 19			
7015C04B	0	7015C054	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x19	constant 25	yes	const	constant 25			
7015C04B	0	7015C054	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x19	constant 25	yes	const	constant 25			
7015C06E	0	7015C077	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x17	constant 23	yes	const	constant 23			
7015C06E	0	7015C077	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x17	constant 23	yes	const	constant 23			
7015C08F	3	7015C09C	WCMP	QUEST	-	s1/ac1	fixed	const	N	N	yes	const	2	constant 2	yes	const	constant 2			
7015C08F	3	7015C09C	WCMP	QUEST	-	s2/ac0	fixed	const	N	N	yes	const	0	constant 0	yes	const	constant 0			
7015C0A3	0	7015C0AD	WCMP	QUEST	-	s1/ac1	varying	varying	N	Y	cond	lenload	sx16(M16[0x7000021C])	length word 0x7000021C	cond	lenload	length word 0x7000021C	2 <=s sx16(M16[0x7000021C]) (assert@7015C083:2)		
7015C0A3	0	7015C0AD	WCMP	QUEST	-	s2/ac0	literal	literal	N	N	yes	const	3	constant 3	yes	const	constant 3			
7015C0F0	0	7015C0F9	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x24	constant 36	yes	const	constant 36			
7015C0F0	0	7015C0F9	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x24	constant 36	yes	const	constant 36			
7015C201	0	7015C20A	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x17	constant 23	yes	const	constant 23			
7015C201	0	7015C20A	WCMV	QUEST	ASSIGN-LIT-VARYING	src/ac1	literal	literal	N	N	yes	const	0x17	constant 23	yes	const	constant 23			
7015C249	4	7015C259	WCMP	QUEST	-	s1/ac1	fixed	const	N	N	yes	const	2	constant 2	yes	const	constant 2			
7015C249	4	7015C259	WCMP	QUEST	-	s2/ac0	fixed	const	N	N	yes	const	2	constant 2	yes	const	constant 2			
7015C25D	0	7015C266	WCMV	QUEST	ASSIGN-LIT-VARYING	dst/ac0	dst-varying	const	N	N	yes	const	0x19	constant 25	yes	const	constant 25			
